Código TSE,Nome,IDH,IDH (categoria),Vencedor,Categoria,PSL (% de votos válidos),PSL (votos),PT (% de votos válidos),PT (votos),Total de votos válidos
16080,Itajá,0.624,,PT, PT,22.06,1034,77.94,3653,4687
28630,São Brás,0.572,Baixo,PT,Baixo PT,22.07,879,77.93,3103,3982
9199,São João dos Patos,0.615,,PT, PT,22.11,2841,77.89,10007,12848
39675,Wagner,0.587,,PT, PT,22.13,1005,77.87,3537,4542
22179,Serra Redonda,0.570,Baixo,PT,Baixo PT,22.14,1060,77.86,3728,4788
19356,Barra de São Miguel,0.572,Baixo,PT,Baixo PT,22.14,843,77.86,2964,3807
32212,Rosário do Catete,0.631,,PT, PT,22.14,1283,77.86,4512,5795
11916,São Félix do Piauí,0.610,,PT, PT,22.15,520,77.85,1828,2348
38610,Santaluz,0.598,,PT, PT,22.19,4611,77.81,16173,20784
20117,Vista Serrana,0.566,Baixo,PT,Baixo PT,22.20,421,77.80,1475,1896
24430,Ipojuca,0.619,,PT, PT,22.20,12034,77.80,42163,54197
19429,São Domingos de Pombal,0.548,Baixo,PT,Baixo PT,22.22,471,77.78,1649,2120
15334,Redenção,0.626,,PT, PT,22.25,3772,77.75,13184,16956
19178,Arara,0.548,Baixo,PT,Baixo PT,22.26,1404,77.74,4904,6308
20290,Gurinhém,0.556,Baixo,PT,Baixo PT,22.27,1845,77.73,6441,8286
21890,São José de Espinharas,0.577,Baixo,PT,Baixo PT,22.29,690,77.71,2406,3096
98396,Manaquiri,0.596,,PT, PT,22.30,1744,77.70,6076,7820
41602,São João das Missões,0.529,Baixo,PT,Baixo PT,22.31,1271,77.69,4425,5696
27081,Campestre,0.559,Baixo,PT,Baixo PT,22.31,745,77.69,2594,3339
7625,Governador Luiz Rocha,0.544,Baixo,PT,Baixo PT,22.32,876,77.68,3049,3925
20958,Monteiro,0.628,,PT, PT,22.32,4171,77.68,14518,18689
11657,Piracuruca,0.596,,PT, PT,22.33,3782,77.67,13153,16935
37974,Piritiba,0.578,Baixo,PT,Baixo PT,22.34,2054,77.66,7142,9196
24830,Maraial,0.534,Baixo,PT,Baixo PT,22.35,1206,77.65,4190,5396
44059,Cristália,0.583,Baixo,PT,Baixo PT,22.35,638,77.65,2217,2855
38059,Pojuca,0.666,,PT, PT,22.38,4270,77.62,14811,19081
2313,Envira,0.509,Baixo,PT,Baixo PT,22.39,1405,77.61,4870,6275
